Signature,Iteration,First Minimal Module Size,Union of All Module Size,Number of Minimal Modules
47,10,13,14,2
48,1,2,2,1
48,2,2,2,1
48,3,2,2,1
48,4,2,2,1
48,5,2,2,1
48,6,2,2,1
48,7,2,2,1
48,8,2,2,1
48,9,2,2,1
48,10,2,2,1
49,1,37,70,17448
49,2,37,70,17448
49,3,37,70,17448
49,4,37,70,17448
49,5,37,70,17448
49,6,37,70,17448
49,7,37,70,17448
49,8,37,70,17448
49,9,37,70,17448
49,10,37,70,17448
50,1,NA,NA,NA
51,1,19,41,273
51,2,19,41,273
51,3,19,41,273
51,4,19,41,273
51,5,19,41,273
51,6,19,41,273
51,7,19,41,273
51,8,19,41,273
51,9,19,41,273
51,10,19,41,273
52,1,7,8,2
52,2,7,8,2
52,3,7,8,2
52,4,7,8,2
52,5,7,8,2
52,6,7,8,2
52,7,7,8,2
52,8,7,8,2
52,9,7,8,2
52,10,7,8,2
53,1,27,38,27
53,2,27,38,27
53,3,27,38,27
53,4,27,38,27
53,5,27,38,27
53,6,27,38,27
53,7,27,38,27
53,8,27,38,27
53,9,27,38,27
53,10,27,38,27
54,1,15,19,6
54,2,15,19,6
54,3,15,19,6
54,4,15,19,6
54,5,15,19,6
54,6,15,19,6
54,7,15,19,6
54,8,15,19,6
54,9,15,19,6
54,10,15,19,6
55,1,31,51,68
55,2,31,51,68
55,3,31,51,68
55,4,31,51,68
55,5,31,51,68
55,6,31,51,68
55,7,31,51,68
55,8,31,51,68
55,9,31,51,68
55,10,31,51,68
56,1,9,9,1
56,2,9,9,1
56,3,9,9,1
56,4,9,9,1
56,5,9,9,1
56,6,9,9,1
56,7,9,9,1
56,8,9,9,1
56,9,9,9,1
56,10,9,9,1
57,1,NA,NA,NA
58,1,20,28,15
58,2,20,28,15
58,3,20,28,15
58,4,20,28,15
58,5,20,28,15
58,6,20,28,15
58,7,20,28,15
58,8,20,28,15
58,9,20,28,15
58,10,20,28,15
59,1,45,84,15552
59,2,45,84,15552
59,3,45,84,15552
59,4,45,84,15552
59,5,45,84,15552
59,6,45,84,15552
59,7,45,84,15552
59,8,45,84,15552
59,9,45,84,15552
59,10,45,84,15552
60,1,9,31,72
60,2,9,31,72
60,3,9,31,72
60,4,9,31,72
60,5,9,31,72
60,6,9,31,72
60,7,9,31,72
60,8,9,31,72
60,9,9,31,72
60,10,9,31,72
61,1,10,17,6
61,2,10,17,6
61,3,10,17,6
61,4,10,17,6
61,5,10,17,6
61,6,10,17,6
61,7,10,17,6
61,8,10,17,6
61,9,10,17,6
61,10,10,17,6
62,1,NA,NA,NA
63,1,4,4,1
63,2,4,4,1
63,3,4,4,1
63,4,4,4,1
63,5,4,4,1
63,6,4,4,1
63,7,4,4,1
63,8,4,4,1
63,9,4,4,1
63,10,4,4,1
64,1,18,32,96
64,2,18,32,96
64,3,18,32,96
64,4,18,32,96
64,5,18,32,96
64,6,18,32,96
64,7,18,32,96
64,8,18,32,96
64,9,18,32,96
64,10,18,32,96
65,1,7,8,2
65,2,7,8,2
65,3,7,8,2
65,4,7,8,2
65,5,7,8,2
65,6,7,8,2
65,7,7,8,2
65,8,7,8,2
65,9,7,8,2
65,10,7,8,2
66,1,20,28,30
66,2,20,28,30
66,3,20,28,30
66,4,20,28,30
66,5,20,28,30
66,6,20,28,30
66,7,20,28,30
66,8,20,28,30
66,9,20,28,30
66,10,20,28,30
67,1,21,42,75
67,2,21,42,75
67,3,21,42,75
67,4,21,42,75
67,5,21,42,75
67,6,21,42,75
67,7,21,42,75
67,8,21,42,75
67,9,21,42,75
