Signature,Iteration,First Minimal Module Size,Union of All Module Size,Number of Minimal Modules
88,5,8,10,2
88,6,8,10,2
88,7,8,10,2
88,8,8,10,2
88,9,8,10,2
88,10,8,10,2
89,1,16,27,27
89,2,16,27,27
89,3,16,27,27
89,4,16,27,27
89,5,16,27,27
89,6,16,27,27
89,7,16,27,27
89,8,16,27,27
89,9,16,27,27
89,10,16,27,27
90,1,36,58,352
90,2,36,58,352
90,3,36,58,352
90,4,36,58,352
90,5,36,58,352
90,6,36,58,352
90,7,36,58,352
90,8,36,58,352
90,9,36,58,352
90,10,36,58,352
91,1,21,48,480
91,2,21,48,480
91,3,21,48,480
91,4,21,48,480
91,5,21,48,480
91,6,21,48,480
91,7,21,48,480
91,8,21,48,480
91,9,21,48,480
91,10,21,48,480
92,1,24,47,182
92,2,24,47,182
92,3,24,47,182
92,4,24,47,182
92,5,24,47,182
92,6,24,47,182
92,7,24,47,182
92,8,24,47,182
92,9,24,47,182
92,10,24,47,182
93,1,9,13,4
93,2,9,13,4
93,3,9,13,4
93,4,9,13,4
93,5,9,13,4
93,6,9,13,4
93,7,9,13,4
93,8,9,13,4
93,9,9,13,4
93,10,9,13,4
94,1,NA,NA,NA
95,1,5,9,5
95,2,5,9,5
95,3,5,9,5
95,4,5,9,5
95,5,5,9,5
95,6,5,9,5
95,7,5,9,5
95,8,5,9,5
95,9,5,9,5
95,10,5,9,5
96,1,NA,NA,NA
97,1,22,35,96
97,2,22,35,96
97,3,22,35,96
97,4,22,35,96
97,5,22,35,96
97,6,22,35,96
97,7,22,35,96
97,8,22,35,96
97,9,22,35,96
97,10,22,35,96
98,1,30,52,128
98,2,30,52,128
98,3,30,52,128
98,4,30,52,128
98,5,30,52,128
98,6,30,52,128
98,7,30,52,128
98,8,30,52,128
98,9,30,52,128
98,10,30,52,128
99,1,19,37,288
99,2,19,37,288
99,3,19,37,288
99,4,19,37,288
99,5,19,37,288
99,6,19,37,288
99,7,19,37,288
99,8,19,37,288
99,9,19,37,288
99,10,19,37,288
