Signature,Iteration,First Minimal Module Size,Union of All Module Size,Number of Minimal Modules
49,6,14,18,2
49,7,14,18,2
49,8,14,18,2
49,9,14,18,2
49,10,14,18,2
50,1,11,27,54
50,2,11,27,54
50,3,11,27,54
50,4,11,27,54
50,5,11,27,54
50,6,11,27,54
50,7,11,27,54
50,8,11,27,54
50,9,11,27,54
50,10,11,27,54
51,1,36,56,1950
51,2,36,56,1950
51,3,36,56,1950
51,4,36,56,1950
51,5,36,56,1950
51,6,36,56,1950
51,7,36,56,1950
51,8,36,56,1950
51,9,36,56,1950
51,10,36,56,1950
52,1,26,32,8
52,2,26,32,8
52,3,26,32,8
52,4,26,32,8
52,5,26,32,8
52,6,26,32,8
52,7,26,32,8
52,8,26,32,8
52,9,26,32,8
52,10,26,32,8
53,1,22,32,12
53,2,22,32,12
53,3,22,32,12
53,4,22,32,12
53,5,22,32,12
53,6,22,32,12
53,7,22,32,12
53,8,22,32,12
53,9,22,32,12
53,10,22,32,12
54,1,26,48,624
54,2,26,48,624
54,3,26,48,624
54,4,26,48,624
54,5,26,48,624
54,6,26,48,624
54,7,26,48,624
54,8,26,48,624
54,9,26,48,624
54,10,26,48,624
55,1,17,19,2
55,2,17,19,2
55,3,17,19,2
55,4,17,19,2
55,5,17,19,2
55,6,17,19,2
55,7,17,19,2
55,8,17,19,2
55,9,17,19,2
55,10,17,19,2
56,1,22,52,960
56,2,22,52,960
56,3,22,52,960
56,4,22,52,960
56,5,22,52,960
56,6,22,52,960
56,7,22,52,960
56,8,22,52,960
56,9,22,52,960
56,10,22,52,960
57,1,28,35,9
57,2,28,35,9
57,3,28,35,9
57,4,28,35,9
57,5,28,35,9
57,6,28,35,9
57,7,28,35,9
57,8,28,35,9
57,9,28,35,9
57,10,28,35,9
58,1,23,37,24
58,2,23,37,24
58,3,23,37,24
58,4,23,37,24
58,5,23,37,24
58,6,23,37,24
58,7,23,37,24
58,8,23,37,24
58,9,23,37,24
58,10,23,37,24
59,1,8,9,2
59,2,8,9,2
59,3,8,9,2
59,4,8,9,2
59,5,8,9,2
59,6,8,9,2
59,7,8,9,2
59,8,8,9,2
59,9,8,9,2
59,10,8,9,2
60,1,11,15,3
60,2,11,15,3
60,3,11,15,3
60,4,11,15,3
60,5,11,15,3
60,6,11,15,3
60,7,11,15,3
60,8,11,15,3
60,9,11,15,3
60,10,11,15,3
61,1,5,8,3
61,2,5,8,3
61,3,5,8,3
61,4,5,8,3
61,5,5,8,3
61,6,5,8,3
61,7,5,8,3
61,8,5,8,3
61,9,5,8,3
61,10,5,8,3
62,1,NA,NA,NA
63,1,20,25,8
63,2,20,25,8
63,3,20,25,8
63,4,20,25,8
63,5,20,25,8
63,6,20,25,8
63,7,20,25,8
63,8,20,25,8
63,9,20,25,8
63,10,20,25,8
64,1,6,6,1
64,2,6,6,1
64,3,6,6,1
64,4,6,6,1
64,5,6,6,1
64,6,6,6,1
64,7,6,6,1
64,8,6,6,1
64,9,6,6,1
64,10,6,6,1
65,1,20,27,16
65,2,20,27,16
65,3,20,27,16
65,4,20,27,16
65,5,20,27,16
65,6,20,27,16
65,7,20,27,16
65,8,20,27,16
65,9,20,27,16
65,10,20,27,16
66,1,62,77,352
66,2,62,77,352
66,3,62,77,352
66,4,62,77,352
66,5,62,77,352
66,6,62,77,352
66,7,62,77,352
66,8,62,77,352
66,9,62,77,352
66,10,62,77,352
67,1,18,38,576
67,2,18,38,576
67,3,18,38,576
67,4,18,38,576
67,5,18,38,576
67,6,18,38,576
67,7,18,38,576
67,8,18,38,576
67,9,18,38,576
67,10,18,38,576
68,1,10,19,7
68,2,10,19,7
68,3,10,19,7
68,4,10,19,7
68,5,10,19,7
68,6,10,19,7
68,7,10,19,7
68,8,10,19,7
68,9,10,19,7
68,10,10,19,7
69,1,0,0,1
69,2,0,0,1
69,3,0,0,1
69,4,0,0,1
69,5,0,0,1
69,6,0,0,1
69,7,0,0,1
69,8,0,0,1
69,9,0,0,1
69,10,0,0,1
70,1,3,5,2
70,2,3,5,2
70,3,3,5,2
70,4,3,5,2
70,5,3,5,2
70,6,3,5,2
70,7,3,5,2
70,8,3,5,2
70,9,3,5,2
70,10,3,5,2
71,1,13,26,24
71,2,13,26,24
71,3,13,26,24
71,4,13,26,24
71,5,13,26,24
71,6,13,26,24
71,7,13,26,24
71,8,13,26,24
71,9,13,26,24
71,10,13,26,24
72,1,41,47,16
72,2,41,47,16
72,3,41,47,16
72,4,41,47,16
72,5,41,47,16
72,6,41,47,16
72,7,41,47,16
72,8,41,47,16
72,9,41,47,16
72,10,41,47,16
73,1,20,41,384
73,2,20,41,384
73,3,20,41,384
73,4,20,41,384
73,5,20,41,384
73,6,20,41,384
73,7,20,41,384
73,8,20,41,384
73,9,20,41,384
73,10,20,41,384
