Signature,Iteration,First Minimal Module Size,Union of All Module Size,Number of Minimal Modules
60,1,12,33,43
60,2,12,33,43
60,3,12,33,43
60,4,12,33,43
60,5,12,33,43
60,6,12,33,43
60,7,12,33,43
60,8,12,33,43
60,9,12,33,43
60,10,12,33,43
61,1,9,9,1
61,2,9,9,1
61,3,9,9,1
61,4,9,9,1
61,5,9,9,1
61,6,9,9,1
61,7,9,9,1
61,8,9,9,1
61,9,9,9,1
61,10,9,9,1
62,1,NA,NA,NA
63,1,24,36,60
63,2,24,36,60
63,3,24,36,60
63,4,24,36,60
63,5,24,36,60
63,6,24,36,60
63,7,24,36,60
63,8,24,36,60
63,9,24,36,60
63,10,24,36,60
64,1,4,9,10
64,2,4,9,10
64,3,4,9,10
64,4,4,9,10
64,5,4,9,10
64,6,4,9,10
64,7,4,9,10
64,8,4,9,10
64,9,4,9,10
64,10,4,9,10
65,1,16,39,78
65,2,16,39,78
65,3,16,39,78
65,4,16,39,78
65,5,16,39,78
65,6,16,39,78
65,7,16,39,78
65,8,16,39,78
65,9,16,39,78
65,10,16,39,78
66,1,9,13,3
66,2,9,13,3
66,3,9,13,3
66,4,9,13,3
66,5,9,13,3
66,6,9,13,3
66,7,9,13,3
66,8,9,13,3
66,9,9,13,3
66,10,9,13,3
67,1,44,63,120
67,2,44,63,120
67,3,44,63,120
67,4,44,63,120
67,5,44,63,120
67,6,44,63,120
67,7,44,63,120
67,8,44,63,120
67,9,44,63,120
67,10,44,63,120
68,1,58,71,24
68,2,58,71,24
68,3,58,71,24
68,4,58,71,24
68,5,58,71,24
68,6,58,71,24
68,7,58,71,24
68,8,58,71,24
68,9,58,71,24
68,10,58,71,24
69,1,7,13,9
69,2,7,13,9
69,3,7,13,9
69,4,7,13,9
69,5,7,13,9
69,6,7,13,9
69,7,7,13,9
69,8,7,13,9
69,9,7,13,9
69,10,7,13,9
70,1,6,6,1
70,2,6,6,1
70,3,6,6,1
70,4,6,6,1
70,5,6,6,1
70,6,6,6,1
70,7,6,6,1
70,8,6,6,1
70,9,6,6,1
70,10,6,6,1
71,1,9,17,8
71,2,9,17,8
71,3,9,17,8
71,4,9,17,8
71,5,9,17,8
71,6,9,17,8
71,7,9,17,8
71,8,9,17,8
71,9,9,17,8
71,10,9,17,8
72,1,21,38,42
72,2,21,38,42
72,3,21,38,42
72,4,21,38,42
72,5,21,38,42
72,6,21,38,42
72,7,21,38,42
72,8,21,38,42
72,9,21,38,42
72,10,21,38,42
73,1,13,29,56
73,2,13,29,56
73,3,13,29,56
73,4,13,29,56
73,5,13,29,56
73,6,13,29,56
73,7,13,29,56
73,8,13,29,56
73,9,13,29,56
73,10,13,29,56
74,1,6,16,12
74,2,6,16,12
74,3,6,16,12
74,4,6,16,12
74,5,6,16,12
74,6,6,16,12
74,7,6,16,12
74,8,6,16,12
74,9,6,16,12
74,10,6,16,12
75,1,23,33,96
75,2,23,33,96
75,3,23,33,96
75,4,23,33,96
75,5,23,33,96
75,6,23,33,96
75,7,23,33,96
75,8,23,33,96
75,9,23,33,96
75,10,23,33,96
76,1,NA,NA,NA
77,1,29,39,24
77,2,29,39,24
77,3,29,39,24
77,4,29,39,24
77,5,29,39,24
77,6,29,39,24
77,7,29,39,24
77,8,29,39,24
77,9,29,39,24
