Signature,Iteration,First Minimal Module Size,Union of All Module Size,Number of Minimal Modules
20,2,23,30,4
20,3,23,30,4
20,4,23,30,4
20,5,23,30,4
20,6,23,30,4
20,7,23,30,4
20,8,23,30,4
20,9,23,30,4
20,10,23,30,4
21,1,14,22,15
21,2,14,22,15
21,3,14,22,15
21,4,14,22,15
21,5,14,22,15
21,6,14,22,15
21,7,14,22,15
21,8,14,22,15
21,9,14,22,15
21,10,14,22,15
22,1,4,4,1
22,2,4,4,1
22,3,4,4,1
22,4,4,4,1
22,5,4,4,1
22,6,4,4,1
22,7,4,4,1
22,8,4,4,1
22,9,4,4,1
22,10,4,4,1
23,1,31,64,660
23,2,31,64,660
23,3,31,64,660
23,4,31,64,660
23,5,31,64,660
23,6,31,64,660
23,7,31,64,660
23,8,31,64,660
23,9,31,64,660
23,10,31,64,660
24,1,NA,NA,NA
25,1,22,83,50600
25,2,22,83,50600
25,3,22,83,50600
25,4,22,83,50600
25,5,22,83,50600
25,6,22,83,50600
25,7,22,83,50600
25,8,22,83,50600
25,9,22,83,50600
25,10,22,83,50600
26,1,35,75,1824
26,2,35,75,1824
26,3,35,75,1824
26,4,35,75,1824
26,5,35,75,1824
26,6,35,75,1824
26,7,35,75,1824
26,8,35,75,1824
26,9,35,75,1824
26,10,35,75,1824
27,1,18,30,18
27,2,18,30,18
27,3,18,30,18
27,4,18,30,18
27,5,18,30,18
27,6,18,30,18
27,7,18,30,18
27,8,18,30,18
27,9,18,30,18
27,10,18,30,18
28,1,24,63,7482
28,2,24,63,7482
28,3,24,63,7482
28,4,24,63,7482
28,5,24,63,7482
28,6,24,63,7482
28,7,24,63,7482
28,8,24,63,7482
28,9,24,63,7482
28,10,24,63,7482
29,1,56,81,1456
29,2,56,81,1456
29,3,56,81,1456
29,4,56,81,1456
29,5,56,81,1456
29,6,56,81,1456
29,7,56,81,1456
29,8,56,81,1456
29,9,56,81,1456
29,10,56,81,1456
30,1,38,50,168
30,2,38,50,168
30,3,38,50,168
30,4,38,50,168
30,5,38,50,168
30,6,38,50,168
30,7,38,50,168
30,8,38,50,168
30,9,38,50,168
30,10,38,50,168
31,1,15,29,56
31,2,15,29,56
31,3,15,29,56
31,4,15,29,56
31,5,15,29,56
31,6,15,29,56
31,7,15,29,56
31,8,15,29,56
31,9,15,29,56
31,10,15,29,56
32,1,0,0,1
32,2,0,0,1
32,3,0,0,1
32,4,0,0,1
32,5,0,0,1
32,6,0,0,1
32,7,0,0,1
32,8,0,0,1
32,9,0,0,1
32,10,0,0,1
33,1,5,5,1
33,2,5,5,1
33,3,5,5,1
33,4,5,5,1
33,5,5,5,1
33,6,5,5,1
33,7,5,5,1
33,8,5,5,1
33,9,5,5,1
33,10,5,5,1
34,1,26,57,4784
34,2,26,57,4784
34,3,26,57,4784
34,4,26,57,4784
34,5,26,57,4784
34,6,26,57,4784
34,7,26,57,4784
34,8,26,57,4784
34,9,26,57,4784
34,10,26,57,4784
35,1,11,22,10
35,2,11,22,10
35,3,11,22,10
35,4,11,22,10
35,5,11,22,10
35,6,11,22,10
35,7,11,22,10
35,8,11,22,10
35,9,11,22,10
35,10,11,22,10
36,1,20,41,108
36,2,20,41,108
36,3,20,41,108
36,4,20,41,108
36,5,20,41,108
36,6,20,41,108
36,7,20,41,108
36,8,20,41,108
36,9,20,41,108
36,10,20,41,108
37,1,4,9,8
37,2,4,9,8
37,3,4,9,8
37,4,4,9,8
37,5,4,9,8
37,6,4,9,8
37,7,4,9,8
37,8,4,9,8
37,9,4,9,8
37,10,4,9,8
38,1,26,61,3661
38,2,26,61,3661
38,3,26,61,3661
38,4,26,61,3661
38,5,26,61,3661
38,6,26,61,3661
38,7,26,61,3661
38,8,26,61,3661
38,9,26,61,3661
38,10,26,61,3661
39,1,19,34,36
39,2,19,34,36
39,3,19,34,36
39,4,19,34,36
39,5,19,34,36
39,6,19,34,36
39,7,19,34,36
39,8,19,34,36
39,9,19,34,36
39,10,19,34,36
40,1,42,79,8400
40,2,42,79,8400
40,3,42,79,8400
40,4,42,79,8400
40,5,42,79,8400
40,6,42,79,8400
40,7,42,79,8400
40,8,42,79,8400
40,9,42,79,8400
40,10,42,79,8400
41,1,20,40,1188
41,2,20,40,1188
41,3,20,40,1188
41,4,20,40,1188
41,5,20,40,1188
41,6,20,40,1188
41,7,20,40,1188
41,8,20,40,1188
41,9,20,40,1188
41,10,20,40,1188
42,1,15,15,1
42,2,15,15,1
42,3,15,15,1
42,4,15,15,1
42,5,15,15,1
42,6,15,15,1
42,7,15,15,1
42,8,15,15,1
42,9,15,15,1
42,10,15,15,1
43,1,38,58,768
43,2,38,58,768
43,3,38,58,768
43,4,38,58,768
43,5,38,58,768
43,6,38,58,768
43,7,38,58,768
43,8,38,58,768
43,9,38,58,768
43,10,38,58,768
44,1,65,90,192
44,2,65,90,192
44,3,65,90,192
44,4,65,90,192
44,5,65,90,192
44,6,65,90,192
44,7,65,90,192
44,8,65,90,192
44,9,65,90,192
44,10,65,90,192
45,1,6,8,3
45,2,6,8,3
45,3,6,8,3
45,4,6,8,3
45,5,6,8,3
45,6,6,8,3
45,7,6,8,3
45,8,6,8,3
45,9,6,8,3
45,10,6,8,3
46,1,33,76,6688
46,2,33,76,6688
46,3,33,76,6688
46,4,33,76,6688
46,5,33,76,6688
46,6,33,76,6688
46,7,33,76,6688
46,8,33,76,6688
46,9,33,76,6688
46,10,33,76,6688
47,1,NA,NA,NA
48,1,29,52,550
48,2,29,52,550
48,3,29,52,550
48,4,29,52,550
48,5,29,52,550
48,6,29,52,550
48,7,29,52,550
48,8,29,52,550
48,9,29,52,550
48,10,29,52,550
49,1,21,44,90
49,2,21,44,90
49,3,21,44,90
49,4,21,44,90
49,5,21,44,90
49,6,21,44,90
49,7,21,44,90
49,8,21,44,90
49,9,21,44,90
49,10,21,44,90
50,1,13,19,21
50,2,13,19,21
50,3,13,19,21
50,4,13,19,21
50,5,13,19,21
50,6,13,19,21
50,7,13,19,21
50,8,13,19,21
50,9,13,19,21
50,10,13,19,21
51,1,15,18,2
51,2,15,18,2
51,3,15,18,2
51,4,15,18,2
51,5,15,18,2
51,6,15,18,2
51,7,15,18,2
51,8,15,18,2
51,9,15,18,2
51,10,15,18,2
52,1,NA,NA,NA
53,1,19,46,2688
53,2,19,46,2688
53,3,19,46,2688
53,4,19,46,2688
53,5,19,46,2688
53,6,19,46,2688
53,7,19,46,2688
53,8,19,46,2688
53,9,19,46,2688
53,10,19,46,2688
54,1,8,10,2
54,2,8,10,2
54,3,8,10,2
54,4,8,10,2
54,5,8,10,2
54,6,8,10,2
54,7,8,10,2
54,8,8,10,2
54,9,8,10,2
54,10,8,10,2
55,1,NA,NA,NA
56,1,34,77,10080
56,2,34,77,10080
56,3,34,77,10080
56,4,34,77,10080
56,5,34,77,10080
56,6,34,77,10080
56,7,34,77,10080
56,8,34,77,10080
56,9,34,77,10080
56,10,34,77,10080
57,1,21,29,22
57,2,21,29,22
57,3,21,29,22
57,4,21,29,22
57,5,21,29,22
57,6,21,29,22
57,7,21,29,22
57,8,21,29,22
57,9,21,29,22
57,10,21,29,22
58,1,9,13,4
58,2,9,13,4
58,3,9,13,4
58,4,9,13,4
58,5,9,13,4
58,6,9,13,4
58,7,9,13,4
58,8,9,13,4
58,9,9,13,4
58,10,9,13,4
59,1,43,81,13824
59,2,43,81,13824
59,3,43,81,13824
59,4,43,81,13824
59,5,43,81,13824
59,6,43,81,13824
59,7,43,81,13824
59,8,43,81,13824
59,9,43,81,13824
59,10,43,81,13824
60,1,5,11,6
60,2,5,11,6
60,3,5,11,6
60,4,5,11,6
60,5,5,11,6
60,6,5,11,6
60,7,5,11,6
60,8,5,11,6
60,9,5,11,6
60,10,5,11,6
61,1,29,30,2
61,2,29,30,2
61,3,29,30,2
61,4,29,30,2
61,5,29,30,2
61,6,29,30,2
61,7,29,30,2
61,8,29,30,2
61,9,29,30,2
61,10,29,30,2
62,1,8,23,70
62,2,8,23,70
62,3,8,23,70
62,4,8,23,70
62,5,8,23,70
62,6,8,23,70
62,7,8,23,70
62,8,8,23,70
62,9,8,23,70
62,10,8,23,70
63,1,20,20,1
63,2,20,20,1
63,3,20,20,1
63,4,20,20,1
63,5,20,20,1
63,6,20,20,1
63,7,20,20,1
63,8,20,20,1
63,9,20,20,1
63,10,20,20,1
64,1,39,54,24
64,2,39,54,24
64,3,39,54,24
64,4,39,54,24
64,5,39,54,24
64,6,39,54,24
64,7,39,54,24
64,8,39,54,24
64,9,39,54,24
64,10,39,54,24
65,1,14,25,120
65,2,14,25,120
65,3,14,25,120
65,4,14,25,120
65,5,14,25,120
65,6,14,25,120
65,7,14,25,120
65,8,14,25,120
65,9,14,25,120
65,10,14,25,120
66,1,32,59,3456
66,2,32,59,3456
66,3,32,59,3456
66,4,32,59,3456
66,5,32,59,3456
66,6,32,59,3456
66,7,32,59,3456
66,8,32,59,3456
66,9,32,59,3456
66,10,32,59,3456
67,1,34,55,84
67,2,34,55,84
67,3,34,55,84
67,4,34,55,84
67,5,34,55,84
67,6,34,55,84
67,7,34,55,84
67,8,34,55,84
67,9,34,55,84
67,10,34,55,84
68,1,11,19,24
68,2,11,19,24
68,3,11,19,24
68,4,11,19,24
68,5,11,19,24
68,6,11,19,24
68,7,11,19,24
68,8,11,19,24
68,9,11,19,24
68,10,11,19,24
69,1,NA,NA,NA
70,1,11,18,8
70,2,11,18,8
70,3,11,18,8
70,4,11,18,8
70,5,11,18,8
70,6,11,18,8
70,7,11,18,8
70,8,11,18,8
70,9,11,18,8
70,10,11,18,8
71,1,0,0,1
71,2,0,0,1
71,3,0,0,1
71,4,0,0,1
71,5,0,0,1
71,6,0,0,1
71,7,0,0,1
71,8,0,0,1
71,9,0,0,1
71,10,0,0,1
72,1,26,29,4
72,2,26,29,4
72,3,26,29,4
72,4,26,29,4
72,5,26,29,4
72,6,26,29,4
72,7,26,29,4
72,8,26,29,4
72,9,26,29,4
72,10,26,29,4
73,1,26,49,144
73,2,26,49,144
73,3,26,49,144
73,4,26,49,144
73,5,26,49,144
73,6,26,49,144
73,7,26,49,144
73,8,26,49,144
73,9,26,49,144
73,10,26,49,144
74,1,0,0,1
74,2,0,0,1
74,3,0,0,1
74,4,0,0,1
74,5,0,0,1
74,6,0,0,1
74,7,0,0,1
74,8,0,0,1
74,9,0,0,1
74,10,0,0,1
75,1,7,13,12
75,2,7,13,12
75,3,7,13,12
75,4,7,13,12
75,5,7,13,12
75,6,7,13,12
75,7,7,13,12
75,8,7,13,12
75,9,7,13,12
75,10,7,13,12
76,1,27,51,1008
76,2,27,51,1008
76,3,27,51,1008
76,4,27,51,1008
76,5,27,51,1008
76,6,27,51,1008
76,7,27,51,1008
76,8,27,51,1008
76,9,27,51,1008
76,10,27,51,1008
77,1,2,2,1
77,2,2,2,1
77,3,2,2,1
77,4,2,2,1
77,5,2,2,1
77,6,2,2,1
77,7,2,2,1
77,8,2,2,1
77,9,2,2,1
77,10,2,2,1
78,1,29,64,13200
78,2,29,64,13200
78,3,29,64,13200
78,4,29,64,13200
78,5,29,64,13200
78,6,29,64,13200
78,7,29,64,13200
78,8,29,64,13200
78,9,29,64,13200
78,10,29,64,13200
79,1,NA,NA,NA
80,1,43,52,20
80,2,43,52,20
80,3,43,52,20
80,4,43,52,20
80,5,43,52,20
80,6,43,52,20
80,7,43,52,20
80,8,43,52,20
80,9,43,52,20
80,10,43,52,20
81,1,43,55,48
81,2,43,55,48
81,3,43,55,48
81,4,43,55,48
81,5,43,55,48
81,6,43,55,48
81,7,43,55,48
81,8,43,55,48
81,9,43,55,48
81,10,43,55,48
82,1,47,59,12
82,2,47,59,12
82,3,47,59,12
82,4,47,59,12
82,5,47,59,12
82,6,47,59,12
82,7,47,59,12
82,8,47,59,12
82,9,47,59,12
82,10,47,59,12
83,1,12,58,344
83,2,12,58,344
83,3,12,58,344
83,4,12,58,344
83,5,12,58,344
83,6,12,58,344
83,7,12,58,344
83,8,12,58,344
83,9,12,58,344
83,10,12,58,344
84,1,5,39,35
84,2,5,39,35
84,3,5,39,35
84,4,5,39,35
84,5,5,39,35
84,6,5,39,35
84,7,5,39,35
84,8,5,39,35
84,9,5,39,35
84,10,5,39,35
85,1,8,9,2
85,2,8,9,2
85,3,8,9,2
85,4,8,9,2
85,5,8,9,2
85,6,8,9,2
85,7,8,9,2
85,8,8,9,2
85,9,8,9,2
85,10,8,9,2
86,1,60,92,12928
86,2,60,92,12928
86,3,60,92,12928
86,4,60,92,12928
86,5,60,92,12928
86,6,60,92,12928
86,7,60,92,12928
86,8,60,92,12928
86,9,60,92,12928
86,10,60,92,12928
87,1,18,22,4
87,2,18,22,4
87,3,18,22,4
87,4,18,22,4
87,5,18,22,4
87,6,18,22,4
87,7,18,22,4
87,8,18,22,4
87,9,18,22,4
87,10,18,22,4
88,1,1,1,1
88,2,1,1,1
88,3,1,1,1
88,4,1,1,1
88,5,1,1,1
88,6,1,1,1
88,7,1,1,1
88,8,1,1,1
88,9,1,1,1
88,10,1,1,1
89,1,NA,NA,NA
90,1,13,16,6
90,2,13,16,6
90,3,13,16,6
90,4,13,16,6
90,5,13,16,6
90,6,13,16,6
90,7,13,16,6
90,8,13,16,6
90,9,13,16,6
90,10,13,16,6
91,1,23,33,64
91,2,23,33,64
91,3,23,33,64
91,4,23,33,64
91,5,23,33,64
91,6,23,33,64
91,7,23,33,64
91,8,23,33,64
91,9,23,33,64
91,10,23,33,64
92,1,10,15,10
92,2,10,15,10
92,3,10,15,10
92,4,10,15,10
92,5,10,15,10
92,6,10,15,10
92,7,10,15,10
92,8,10,15,10
92,9,10,15,10
92,10,10,15,10
93,1,NA,NA,NA
94,1,7,7,1
94,2,7,7,1
94,3,7,7,1
94,4,7,7,1
94,5,7,7,1
94,6,7,7,1
94,7,7,7,1
94,8,7,7,1
94,9,7,7,1
94,10,7,7,1
95,1,NA,NA,NA
96,1,28,31,5
96,2,28,31,5
96,3,28,31,5
96,4,28,31,5
96,5,28,31,5
96,6,28,31,5
96,7,28,31,5
96,8,28,31,5
96,9,28,31,5
96,10,28,31,5
97,1,7,11,2
97,2,7,11,2
97,3,7,11,2
97,4,7,11,2
97,5,7,11,2
97,6,7,11,2
97,7,7,11,2
97,8,7,11,2
97,9,7,11,2
97,10,7,11,2
98,1,4,9,3
98,2,4,9,3
98,3,4,9,3
98,4,4,9,3
98,5,4,9,3
98,6,4,9,3
98,7,4,9,3
98,8,4,9,3
98,9,4,9,3
98,10,4,9,3
99,1,NA,NA,NA
