Signature,AMM_Time,Average_MM_Size,Union_AMM_Size,Number_MM
798,NA,NA,NA,NA
799,NA,NA,NA,NA
800,NA,NA,NA,NA
801,NA,NA,NA,NA
802,NA,NA,NA,NA
803,NA,NA,NA,NA
804,NA,NA,NA,NA
805,NA,NA,NA,NA
806,NA,NA,NA,NA
807,NA,NA,NA,NA
808,NA,NA,NA,NA
809,NA,NA,NA,NA
810,NA,NA,NA,NA
811,NA,NA,NA,NA
812,NA,NA,NA,NA
813,NA,NA,NA,NA
814,NA,NA,NA,NA
815,NA,NA,NA,NA
816,NA,NA,NA,NA
817,587.2933676242828,8.0,8,1
818,NA,NA,NA,NA
819,453.1816475391388,14.0,14,1
820,NA,NA,NA,NA
821,NA,NA,NA,NA
822,561.4504098892212,12.5,14,2
823,NA,NA,NA,NA
824,NA,NA,NA,NA
825,NA,NA,NA,NA
826,NA,NA,NA,NA
827,NA,NA,NA,NA
828,NA,NA,NA,NA
829,NA,NA,NA,NA
830,NA,NA,NA,NA
831,NA,NA,NA,NA
832,NA,NA,NA,NA
833,NA,NA,NA,NA
834,NA,NA,NA,NA
835,NA,NA,NA,NA
836,NA,NA,NA,NA
837,NA,NA,NA,NA
838,NA,NA,NA,NA
839,NA,NA,NA,NA
840,NA,NA,NA,NA
841,NA,NA,NA,NA
842,NA,NA,NA,NA
843,NA,NA,NA,NA
844,NA,NA,NA,NA
845,NA,NA,NA,NA
846,NA,NA,NA,NA
847,NA,NA,NA,NA
848,NA,NA,NA,NA
849,540.8620188236237,13.0,13,1
850,NA,NA,NA,NA
851,NA,NA,NA,NA
852,NA,NA,NA,NA
853,NA,NA,NA,NA
854,NA,NA,NA,NA
855,NA,NA,NA,NA
856,NA,NA,NA,NA
857,NA,NA,NA,NA
858,NA,NA,NA,NA
859,NA,NA,NA,NA
860,NA,NA,NA,NA
861,NA,NA,NA,NA
862,NA,NA,NA,NA
863,NA,NA,NA,NA
864,NA,NA,NA,NA
865,NA,NA,NA,NA
866,372.3520061969757,8.0,8,1
867,NA,NA,NA,NA
868,NA,NA,NA,NA
869,NA,NA,NA,NA
870,NA,NA,NA,NA
871,NA,NA,NA,NA
872,NA,NA,NA,NA
873,548.1873135566711,4.0,4,1
874,NA,NA,NA,NA
875,NA,NA,NA,NA
876,NA,NA,NA,NA
877,NA,NA,NA,NA
878,NA,NA,NA,NA
879,NA,NA,NA,NA
880,NA,NA,NA,NA
881,NA,NA,NA,NA
882,NA,NA,NA,NA
883,NA,NA,NA,NA
884,NA,NA,NA,NA
885,NA,NA,NA,NA
886,NA,NA,NA,NA
887,447.37473464012146,8.0,8,1
888,362.47760462760925,12.5,16,4
889,NA,NA,NA,NA
890,NA,NA,NA,NA
891,NA,NA,NA,NA
892,NA,NA,NA,NA
893,NA,NA,NA,NA
894,NA,NA,NA,NA
895,NA,NA,NA,NA
896,NA,NA,NA,NA
897,NA,NA,NA,NA
898,NA,NA,NA,NA
899,NA,NA,NA,NA
900,419.0520212650299,6.0,8,2
901,NA,NA,NA,NA
902,NA,NA,NA,NA
903,NA,NA,NA,NA
904,NA,NA,NA,NA
905,NA,NA,NA,NA
906,NA,NA,NA,NA
907,NA,NA,NA,NA
908,NA,NA,NA,NA
909,NA,NA,NA,NA
910,NA,NA,NA,NA
911,NA,NA,NA,NA
912,NA,NA,NA,NA
913,NA,NA,NA,NA
914,NA,NA,NA,NA
915,NA,NA,NA,NA
916,NA,NA,NA,NA
917,NA,NA,NA,NA
918,NA,NA,NA,NA
919,NA,NA,NA,NA
920,NA,NA,NA,NA
921,NA,NA,NA,NA
922,NA,NA,NA,NA
923,NA,NA,NA,NA
924,NA,NA,NA,NA
925,NA,NA,NA,NA
926,NA,NA,NA,NA
927,NA,NA,NA,NA
928,NA,NA,NA,NA
929,NA,NA,NA,NA
930,NA,NA,NA,NA
931,NA,NA,NA,NA
932,NA,NA,NA,NA
933,NA,NA,NA,NA
934,NA,NA,NA,NA
935,549.1391229629517,9.0,12,2
936,NA,NA,NA,NA
937,NA,NA,NA,NA
938,NA,NA,NA,NA
939,518.0647649765015,5.0,5,1
940,NA,NA,NA,NA
941,NA,NA,NA,NA
942,NA,NA,NA,NA
943,NA,NA,NA,NA
944,NA,NA,NA,NA
945,NA,NA,NA,NA
946,301.6450252532959,19.2,26,5
947,NA,NA,NA,NA
948,NA,NA,NA,NA
949,NA,NA,NA,NA
950,NA,NA,NA,NA
951,NA,NA,NA,NA
952,NA,NA,NA,NA
953,482.57553696632385,8.0,8,1
954,NA,NA,NA,NA
955,NA,NA,NA,NA
956,NA,NA,NA,NA
957,NA,NA,NA,NA
958,NA,NA,NA,NA
959,NA,NA,NA,NA
960,NA,NA,NA,NA
961,NA,NA,NA,NA
962,NA,NA,NA,NA
