Signature,First Minimal Module Size,Union of All Module Size,Number of Minimal Modules
749,6,15,6
750,5,5,1
751,12,12,1
752,0,0,1
753,18,24,4
754,0,0,1
755,3,3,1
756,5,7,2
757,4,4,1
758,3,3,1
759,2,2,1
760,12,14,2
761,5,5,1
762,14,18,8
763,8,8,1
764,0,0,1
765,9,9,1
766,2,3,2
767,NA,NA,NA
768,4,4,1
769,21,37,384
770,7,7,1
771,NA,NA,NA
772,NA,NA,NA
773,10,10,1
774,2,2,1
775,NA,NA,NA
776,5,5,1
777,7,7,1
778,NA,NA,NA
779,4,4,1
780,7,9,4
781,8,8,1
782,9,9,1
783,15,15,1
784,NA,NA,NA
785,5,5,1
786,3,4,2
787,1,1,1
788,2,2,1
789,5,5,1
790,9,19,3
791,3,3,1
792,NA,NA,NA
793,8,8,1
794,22,26,16
795,10,19,10
796,11,15,3
797,5,5,1
798,7,7,1
799,5,6,2
800,NA,NA,NA
801,14,25,8
802,NA,NA,NA
803,NA,NA,NA
804,NA,NA,NA
805,13,16,2
806,NA,NA,NA
807,1,1,1
808,8,10,4
809,2,2,1
810,NA,NA,NA
811,0,0,1
812,2,2,1
813,14,15,2
814,5,6,2
815,5,5,1
816,13,13,1
817,8,8,1
818,4,5,2
819,14,14,1
820,15,26,12
821,4,4,1
822,13,17,4
823,NA,NA,NA
824,0,0,1
825,NA,NA,NA
826,8,15,9
827,NA,NA,NA
828,11,13,2
829,24,31,8
830,NA,NA,NA
831,8,18,4
832,8,11,2
833,14,14,1
834,8,10,2
835,NA,NA,NA
836,10,10,1
837,NA,NA,NA
838,20,22,4
839,2,2,1
840,2,2,1
841,2,2,1
842,NA,NA,NA
843,0,0,1
844,32,59,90
845,0,0,1
846,NA,NA,NA
847,5,5,1
848,4,4,1
849,11,13,4
850,1,1,1
851,6,6,1
852,8,9,2
853,5,5,1
854,12,13,2
855,8,13,8
856,NA,NA,NA
857,1,1,1
858,3,3,1
859,4,4,1
860,2,2,1
861,7,7,1
862,NA,NA,NA
863,0,0,1
864,2,2,1
865,7,7,1
866,6,8,4
867,75,133,5760
868,6,6,1
