Signature Name,Iteration,Size of First Minimal Module,Size of Union of All Minimal Modules,Number of Minimal Modules
62,7,3,6,4
62,8,3,6,4
62,9,3,6,4
62,10,3,6,4
63,1,13,31,216
63,2,13,31,216
63,3,13,31,216
63,4,13,31,216
63,5,13,31,216
63,6,13,31,216
63,7,13,31,216
63,8,13,31,216
63,9,13,31,216
63,10,13,31,216
65,1,17,39,245
65,2,17,39,245
65,3,17,39,245
65,4,17,39,245
65,5,17,39,245
65,6,17,39,245
65,7,17,39,245
65,8,17,39,245
65,9,17,39,245
65,10,17,39,245
66,1,18,18,1
66,2,18,18,1
66,3,18,18,1
66,4,18,18,1
66,5,18,18,1
66,6,18,18,1
66,7,18,18,1
66,8,18,18,1
66,9,18,18,1
66,10,18,18,1
67,1,10,19,12
67,2,10,19,12
67,3,10,19,12
67,4,10,19,12
67,5,10,19,12
67,6,10,19,12
67,7,10,19,12
67,8,10,19,12
67,9,10,19,12
67,10,10,19,12
68,1,25,32,4
68,2,25,32,4
68,3,25,32,4
68,4,25,32,4
68,5,25,32,4
68,6,25,32,4
68,7,25,32,4
68,8,25,32,4
68,9,25,32,4
68,10,25,32,4
69,1,19,26,8
69,2,19,26,8
69,3,19,26,8
69,4,19,26,8
69,5,19,26,8
69,6,19,26,8
69,7,19,26,8
69,8,19,26,8
69,9,19,26,8
69,10,19,26,8
70,1,14,16,3
70,2,14,16,3
70,3,14,16,3
70,4,14,16,3
70,5,14,16,3
70,6,14,16,3
70,7,14,16,3
70,8,14,16,3
70,9,14,16,3
70,10,14,16,3
72,1,37,69,1680
72,2,37,69,1680
72,3,37,69,1680
72,4,37,69,1680
72,5,37,69,1680
72,6,37,69,1680
72,7,37,69,1680
72,8,37,69,1680
72,9,37,69,1680
72,10,37,69,1680
73,1,31,46,768
73,2,31,46,768
73,3,31,46,768
73,4,31,46,768
73,5,31,46,768
73,6,31,46,768
73,7,31,46,768
73,8,31,46,768
73,9,31,46,768
73,10,31,46,768
74,1,12,12,1
74,2,12,12,1
74,3,12,12,1
74,4,12,12,1
74,5,12,12,1
74,6,12,12,1
74,7,12,12,1
74,8,12,12,1
74,9,12,12,1
74,10,12,12,1
75,1,30,55,240
75,2,30,55,240
75,3,30,55,240
75,4,30,55,240
75,5,30,55,240
75,6,30,55,240
75,7,30,55,240
75,8,30,55,240
75,9,30,55,240
75,10,30,55,240
77,1,2,5,4
77,2,2,5,4
77,3,2,5,4
77,4,2,5,4
77,5,2,5,4
77,6,2,5,4
77,7,2,5,4
77,8,2,5,4
77,9,2,5,4
77,10,2,5,4
78,1,99,112,128
78,2,99,112,128
78,3,99,112,128
78,4,99,112,128
78,5,99,112,128
78,6,99,112,128
78,7,99,112,128
78,8,99,112,128
78,9,99,112,128
78,10,99,112,128
79,1,7,13,4
79,2,7,13,4
79,3,7,13,4
79,4,7,13,4
79,5,7,13,4
79,6,7,13,4
79,7,7,13,4
79,8,7,13,4
79,9,7,13,4
79,10,7,13,4
80,1,28,82,10710
80,2,28,82,10710
80,3,28,82,10710
80,4,28,82,10710
80,5,28,82,10710
80,6,28,82,10710
80,7,28,82,10710
80,8,28,82,10710
80,9,28,82,10710
80,10,28,82,10710
81,1,12,12,1
81,2,12,12,1
81,3,12,12,1
81,4,12,12,1
81,5,12,12,1
81,6,12,12,1
81,7,12,12,1
81,8,12,12,1
81,9,12,12,1
81,10,12,12,1
82,1,15,38,150
82,2,15,38,150
82,3,15,38,150
82,4,15,38,150
82,5,15,38,150
82,6,15,38,150
82,7,15,38,150
82,8,15,38,150
82,9,15,38,150
82,10,15,38,150
83,1,21,28,20
83,2,21,28,20
83,3,21,28,20
83,4,21,28,20
83,5,21,28,20
83,6,21,28,20
83,7,21,28,20
83,8,21,28,20
83,9,21,28,20
83,10,21,28,20
84,1,6,8,3
84,2,6,8,3
84,3,6,8,3
84,4,6,8,3
84,5,6,8,3
84,6,6,8,3
84,7,6,8,3
84,8,6,8,3
84,9,6,8,3
84,10,6,8,3
86,1,7,13,8
86,2,7,13,8
86,3,7,13,8
86,4,7,13,8
86,5,7,13,8
86,6,7,13,8
86,7,7,13,8
86,8,7,13,8
86,9,7,13,8
86,10,7,13,8
87,1,16,27,27
87,2,16,27,27
87,3,16,27,27
87,4,16,27,27
87,5,16,27,27
87,6,16,27,27
87,7,16,27,27
87,8,16,27,27
87,9,16,27,27
87,10,16,27,27
88,1,14,27,60
88,2,14,27,60
88,3,14,27,60
88,4,14,27,60
88,5,14,27,60
88,6,14,27,60
88,7,14,27,60
88,8,14,27,60
88,9,14,27,60
88,10,14,27,60
89,1,6,6,1
89,2,6,6,1
89,3,6,6,1
89,4,6,6,1
89,5,6,6,1
89,6,6,6,1
89,7,6,6,1
89,8,6,6,1
89,9,6,6,1
89,10,6,6,1
90,1,12,22,18
90,2,12,22,18
90,3,12,22,18
90,4,12,22,18
90,5,12,22,18
90,6,12,22,18
90,7,12,22,18
90,8,12,22,18
90,9,12,22,18
90,10,12,22,18
91,1,15,43,144
91,2,15,43,144
91,3,15,43,144
91,4,15,43,144
91,5,15,43,144
91,6,15,43,144
91,7,15,43,144
91,8,15,43,144
91,9,15,43,144
91,10,15,43,144
92,1,25,45,240
92,2,25,45,240
92,3,25,45,240
92,4,25,45,240
92,5,25,45,240
92,6,25,45,240
92,7,25,45,240
92,8,25,45,240
92,9,25,45,240
92,10,25,45,240
93,1,14,34,162
93,2,14,34,162
93,3,14,34,162
93,4,14,34,162
93,5,14,34,162
93,6,14,34,162
93,7,14,34,162
93,8,14,34,162
93,9,14,34,162
93,10,14,34,162
94,1,12,12,1
94,2,12,12,1
94,3,12,12,1
94,4,12,12,1
94,5,12,12,1
94,6,12,12,1
94,7,12,12,1
94,8,12,12,1
94,9,12,12,1
94,10,12,12,1
95,1,26,66,16456
95,2,26,66,16456
95,3,26,66,16456
95,4,26,66,16456
95,5,26,66,16456
95,6,26,66,16456
95,7,26,66,16456
95,8,26,66,16456
95,9,26,66,16456
95,10,26,66,16456
96,1,23,33,36
96,2,23,33,36
96,3,23,33,36
96,4,23,33,36
96,5,23,33,36
96,6,23,33,36
96,7,23,33,36
96,8,23,33,36
96,9,23,33,36
96,10,23,33,36
97,1,11,38,320
97,2,11,38,320
97,3,11,38,320
97,4,11,38,320
97,5,11,38,320
97,6,11,38,320
97,7,11,38,320
97,8,11,38,320
97,9,11,38,320
97,10,11,38,320
98,1,20,77,6166
98,2,20,77,6166
98,3,20,77,6166
98,4,20,77,6166
98,5,20,77,6166
98,6,20,77,6166
98,7,20,77,6166
98,8,20,77,6166
98,9,20,77,6166
98,10,20,77,6166
99,1,2,2,1
99,2,2,2,1
99,3,2,2,1
99,4,2,2,1
99,5,2,2,1
99,6,2,2,1
99,7,2,2,1
99,8,2,2,1
99,9,2,2,1
99,10,2,2,1
41,1,NA,NA,NA
49,1,NA,NA,NA
64,1,NA,NA,NA
21,1,NA,NA,NA
43,1,NA,NA,NA
19,1,NA,NA,NA
71,1,NA,NA,NA
76,1,NA,NA,NA
61,1,NA,NA,NA
85,1,NA,NA,NA
20,1,NA,NA,NA
60,1,NA,NA,NA
22,1,NA,NA,NA
