Signature,Average Minimal Module Size,Union of All Module Size,Number of Minimal Modules
467,NA,NA,NA
468,4.0,4,1
469,7.4,27,10
470,0.0,0,1
471,38.142857142857146,77,84
472,3.0,3,1
473,NA,NA,NA
474,NA,NA,NA
475,5.5,7,2
476,1.0,1,1
477,NA,NA,NA
478,15.0,15,1
479,12.0,18,16
480,2.0,2,1
481,NA,NA,NA
482,2.0,2,1
483,6.0,6,1
484,14.166666666666666,24,24
485,8.0,8,1
486,4.5,6,2
487,4.0,4,1
488,8.0,9,2
489,NA,NA,NA
490,0.0,0,1
491,0.0,0,1
492,4.0,4,1
493,NA,NA,NA
494,12.0,12,1
495,NA,NA,NA
496,8.5,10,2
497,4.0,4,1
498,3.0,3,1
499,NA,NA,NA
500,0.0,0,1
501,3.0,3,1
502,NA,NA,NA
503,6.0,6,1
504,4.0,12,6
505,NA,NA,NA
506,0.0,0,1
507,NA,NA,NA
508,2.0,2,1
509,NA,NA,NA
510,3.0,3,1
511,NA,NA,NA
512,2.0,2,1
513,7.5,15,8
514,6.0,6,1
515,4.0,4,1
516,35.6,44,10
517,6.0,6,1
518,14.0,14,1
519,3.0,4,2
520,NA,NA,NA
521,NA,NA,NA
522,NA,NA,NA
523,NA,NA,NA
524,NA,NA,NA
525,5.0,5,1
526,3.0,3,1
527,NA,NA,NA
528,8.0,9,2
529,3.0,8,4
530,6.5,9,2
531,6.0,6,1
532,2.0,3,2
533,6.0,6,1
534,2.0,2,1
535,NA,NA,NA
536,NA,NA,NA
537,4.0,4,1
538,NA,NA,NA
539,4.0,4,1
540,14.0,14,1
541,3.0,4,2
542,1.0,1,1
543,2.0,2,1
544,NA,NA,NA
545,14.5,20,4
546,NA,NA,NA
547,NA,NA,NA
548,48.65909090909091,104,1848
549,NA,NA,NA
550,NA,NA,NA
551,0.0,0,1
552,2.0,2,1
553,6.0,6,1
554,18.333333333333332,23,3
555,4.0,4,1
556,2.0,2,1
557,NA,NA,NA
558,NA,NA,NA
559,2.5,5,2
560,2.0,2,1
561,NA,NA,NA
562,6.5,8,2
563,0.0,0,1
564,3.0,3,1
565,8.0,8,1
566,1.0,1,1
567,NA,NA,NA
568,11.0,13,4
569,1.0,1,1
570,4.0,4,1
571,2.0,2,1
572,NA,NA,NA
573,8.0,9,2
574,NA,NA,NA
575,4.0,7,3
576,2.0,2,1
577,2.5,5,2
578,NA,NA,NA
579,NA,NA,NA
580,NA,NA,NA
581,5.0,5,1
582,2.0,2,1
583,NA,NA,NA
584,5.0,10,3
585,0.0,0,1
586,3.0,3,1
587,16.25,24,4
588,NA,NA,NA
589,NA,NA,NA
590,21.0,24,2
591,NA,NA,NA
592,2.0,2,1
593,NA,NA,NA
594,NA,NA,NA
595,0.0,0,1
596,13.333333333333334,21,3
597,NA,NA,NA
598,0.0,0,1
599,10.333333333333334,15,3
600,4.0,4,1
601,NA,NA,NA
602,NA,NA,NA
603,2.0,2,1
604,2.0,3,2
605,11.2,20,5
606,NA,NA,NA
607,13.25,22,8
608,4.333333333333333,18,9
609,NA,NA,NA
610,NA,NA,NA
611,NA,NA,NA
612,2.0,2,1
613,2.0,2,1
614,NA,NA,NA
615,NA,NA,NA
616,4.5,18,8
617,NA,NA,NA
618,1.0,1,1
619,NA,NA,NA
620,NA,NA,NA
621,6.0,6,1
622,20.5,24,2
623,5.0,5,1
624,16.666666666666668,23,3
625,NA,NA,NA
626,0.0,0,1
627,5.0,5,1
628,0.0,0,1
629,10.0,15,3
630,3.0,3,1
631,NA,NA,NA
632,NA,NA,NA
633,NA,NA,NA
634,12.0,12,1
635,NA,NA,NA
636,NA,NA,NA
637,NA,NA,NA
638,NA,NA,NA
639,2.0,2,1
640,NA,NA,NA
641,30.714285714285715,55,7
642,2.0,2,1
643,2.0,2,1
644,11.0,11,1
645,12.5,15,2
646,NA,NA,NA
647,NA,NA,NA
648,0.0,0,1
649,4.0,4,1
650,3.0,3,1
651,2.0,2,1
652,2.0,2,1
653,14.0,14,1
654,NA,NA,NA
655,2.0,2,1
656,NA,NA,NA
657,17.633333333333333,45,360
658,NA,NA,NA
659,NA,NA,NA
660,NA,NA,NA
661,4.0,4,1
662,2.0,2,1
663,NA,NA,NA
664,NA,NA,NA
665,NA,NA,NA
666,NA,NA,NA
667,NA,NA,NA
668,NA,NA,NA
669,2.0,2,1
670,0.0,0,1
671,0.0,0,1
672,0.0,0,1
673,NA,NA,NA
674,2.0,3,2
675,4.0,4,1
676,NA,NA,NA
677,18.0,22,4
678,NA,NA,NA
679,5.0,5,1
680,4.0,4,1
681,4.0,5,2
682,7.0,8,2
683,18.0,18,1
684,5.5,8,2
685,NA,NA,NA
686,1.0,1,1
687,43.25,61,72
688,0.0,0,1
689,12.5,15,2
690,3.0,3,1
691,0.0,0,1
692,18.333333333333332,23,3
693,12.0,13,2
694,NA,NA,NA
695,54.41538461538462,93,520
696,23.363636363636363,47,264
697,18.0,24,8
698,NA,NA,NA
699,4.0,4,1
700,NA,NA,NA
701,NA,NA,NA
702,8.5,11,2
703,NA,NA,NA
704,8.0,8,1
705,2.0,2,1
706,29.833333333333332,43,24
707,4.0,5,2
708,NA,NA,NA
709,22.0,22,1
710,2.0,2,1
711,7.0,12,4
712,NA,NA,NA
713,18.333333333333332,23,3
714,NA,NA,NA
715,7.0,7,1
716,5.0,5,1
717,4.0,4,1
718,2.0,3,2
719,6.0,6,1
720,4.0,5,2
721,8.0,9,2
722,NA,NA,NA
723,6.0,7,2
724,6.0,6,1
725,5.0,6,2
726,7.5,9,2
727,9.0,9,1
728,NA,NA,NA
729,NA,NA,NA
730,NA,NA,NA
731,4.0,4,1
732,9.0,10,2
733,2.0,2,1
734,3.0,3,1
735,NA,NA,NA
736,NA,NA,NA
737,7.0,7,1
738,3.0,3,1
739,4.0,4,1
740,NA,NA,NA
741,5.0,5,1
742,15.5,18,2
743,2.0,2,1
744,NA,NA,NA
745,NA,NA,NA
746,NA,NA,NA
747,12.5,27,14
748,NA,NA,NA
749,7.0,15,6
750,5.0,5,1
751,12.0,12,1
752,0.0,0,1
753,19.0,24,4
754,0.0,0,1
755,3.0,3,1
756,5.5,7,2
757,4.0,4,1
758,3.0,3,1
759,2.0,2,1
760,12.5,14,2
761,5.0,5,1
762,12.5,18,8
763,8.0,8,1
764,0.0,0,1
765,9.0,9,1
766,2.0,3,2
767,NA,NA,NA
768,4.0,4,1
769,NA,NA,NA
770,7.0,7,1
771,NA,NA,NA
772,NA,NA,NA
773,10.0,10,1
774,2.0,2,1
775,NA,NA,NA
776,NA,NA,NA
